,url,tel,mail
0,https://1000sotok.ru,"('88125150070', '89013021152', '89013021312', '89013038264', '89013052188', '89013075315')",
1,https://10rg.ru,"('74954775739',)",dima@mikhaylovseo.ru
2,https://12sever.ru,"('8362335588', '8362458854')",seversg@bk.ru
3,https://1470umto.ru,"('3022217719',)",info@1470umto.ru
4,https://1lion.ru,"('79788046535', '89788580000', '89788881654')",
5,https://1strela.ru,"('70473316360', '71369385607', '71653850522', '73726846341', '75523996190', '77036822257', '79054025255', '81490641394', '82255708609', '88126003333', '88127405018', '88990451883')",sales@1strela.ru
6,https://203000.ru,"('8412203000',)",
7,https://214g.ru,,
8,https://23kvartiri.ru,"('70006157982', '70063722614', '70070190737', '70274306647', '70386842941', '70425165898', '70839861175', '70940077747', '70961972727', '70965903462', '70974003902', '70980109922', '70992566741', '71148686274', '71158246002', '71169587823', '71210566115', '71333415344', '71358984152', '71470170673', '71548573353', '71581268310', '71674104961', '71704002120', '71746165484', '71769714355', '71778392792', '71792500316', '71861833777', '71862547699', '71918715499', '71931499768', '71936856466', '71944998183', '71988936706', '72011756897', '72110335048', '72186684608', '72194888336', '72200695032', '72254394222', '72291986943', '72307006878', '72389698028', '72397021106', '72435741043', '72569323636', '72635626792', '72716482454', '72745750148', '72752732982', '72771129445', '72923284397', '72938607131', '72965423647', '73017009885', '73081774542', '73086852655', '73152275889', '73174832992', '73186728293', '73229403066', '73289564935', '73311307280', '73358485463', '73561149581', '73627360812', '73683140109', '73744000000', '73787661622', '73948389439', '73998651498', '74014841005', '74056718154', '74104915974', '74122891294', '74157439997', '74272554606', '74301751285', '74394177120', '74416904135', '74541150057', '74575027373', '74618453900', '74632557342', '74727439880', '74910349043', '74926083647', '74931945425', '75071974252', '75104276250', '75130081176', '75361103973', '75438822784', '75470576412', '75532619629', '75689555642', '75767354126', '75824097725', '75840403621', '75916819913', '75965445960', '75994204674', '76037132967', '76165749823', '76194121674', '76388312736', '76619291305', '76674388671', '76699954765', '76790837295', '76827033718', '76913073076', '76941797162', '77015980923', '77024058707', '77251148223', '77315718747', '77443999999', '77465329364', '77516174316', '77611924939', '77719469741', '77810724618', '77814182625', '77857590956', '77876606314', '77878045654', '77908039554', '77945223399', '77949561215', '77959710162', '78000301722', '78112186299', '78193431532', '78199386596', '78296770320', '78409117109', '78561825256', '78653176226', '78659744742', '78670491695', '78925509960', '79042053223', '79064941406', '79163603154', '79179693893', '79263450112', '79385185928', '79468304804', '79490123018', '79532616708', '79553715483', '79646554132', '79669999996', '79848666355', '79874829864', '79890079993', '79917513732', '79945033927', '80066180229', '80209575806', '80251634679', '80264109425', '80311388625', '80392820678', '80405802667', '80432857113', '80584632087', '80604275176', '80684711974', '80753226312', '80779647827', '80780403425', '80876517295', '81002413848', '81017875671', '81044719415', '81105927504', '81117874156', '81151512321', '81201186310', '81282748318', '81298970205', '81422684516', '81426501580', '81441902554', '81621026992', '81748301603', '81781846557', '81912231445', '82029538974', '82054435585', '82131300489', '82420013602', '82435887072', '82506658853', '82509325405', '82639575274', '82640266418', '82731819153', '82794722136', '82827756714', '82837894107', '82843953366', '82912826538', '83021845572', '83036548463', '83081147064', '83117330332', '83134581475', '83198451995', '83201410788', '83206758243', '83274089415', '83364872785', '83401299369', '83408212661', '83424026319', '83463917395', '83489892118', '83657614228', '83668684146', '83688838205', '83697331629', '83706784408', '83789718976', '83903100047', '83967979439', '84005782879', '84212696457', '84254002869', '84260644180', '84262069648', '84407818721', '84439516067', '84460302342', '84482554971', '84589750599', '84692064463', '84714984893', '84935401049', '84977599703', '85090001473', '85192226829', '85413061295', '85607061354', '86130702099', '86171994446', '86191690125', '86275098012', '86336836413', '86558605632', '86948931497', '87000274658', '87102171461', '87165631267', '87237443130', '87250448026', '87267912574', '87475312134', '87483167757', '87602345148', '87631393297', '87652906532', '87790107727', '87843322754', '87882441296', '87891835754', '88002001023', '88017927453', '88403764618', '88434241949', '88466844784', '88556927743', '88574750390', '88582277725', '88656745315', '88663459697', '88719374566', '88826818304', '88830148373', '88861397183', '88884735107', '88905305067', '89104847462', '89174914534', '89178396564', '89268918499', '89293101824', '89399719238', '89463675401', '89528040165', '89541031235', '89568825871', '89632680805', '89658699468', '89745905441', '89779281616', '89821526988', '89876847921', '89929984274', '89930608245', '89971834775', '89973784987', '89994859695')",
9,https://2volga.ru,"('79154635186', '89154635186')",sale@2volga.ru
